Small, 85, 3, 6, 1, 14, 14, 9, 3, 18, 21, 12
Small, 84, 24, 2, 16, 25, 11, 6, 21, 4, 7, 21
Small, 92, 22, 15, 24, 10, 9, 24, 12, 8, 10, 15
Small, 10, 19, 11, 11, 6, 4, 6, 1, 17, 14, 17
Small, 23, 12, 6, 3, 13, 15, 20, 13, 22, 20, 23
Small, 98, 21, 3, 24, 16, 22, 18, 9, 15, 7, 6
Small, 50, 10, 7, 19, 24, 3, 24, 22, 5, 4, 8
Small, 46, 21, 23, 9, 12, 12, 10, 21, 23, 7, 20
Small, 36, 19, 23, 10, 1, 13, 13, 8, 17, 17, 5
Small, 93, 14, 7, 2, 24, 4, 17, 22, 11, 1, 19
Small, 64, 20, 15, 21, 19, 17, 8, 18, 22, 14, 17
Small, 76, 17, 21, 4, 17, 9, 8, 17, 6, 15, 24
Small, 92, 2, 13, 14, 20, 24, 2, 23, 21, 1, 24
Small, 19, 7, 17, 9, 24, 9, 4, 7, 5, 25, 12
Small, 40, 14, 10, 9, 5, 7, 18, 23, 18, 10, 12
Small, 80, 6, 18, 10, 25, 10, 4, 10, 3, 7, 5
Small, 55, 8, 11, 20, 17, 15, 20, 1, 8, 17, 16
Small, 8, 4, 16, 9, 25, 3, 16, 2, 19, 13, 1
Small, 35, 9, 19, 23, 4, 11, 10, 17, 9, 5, 1
Small, 20, 21, 7, 9, 2, 19, 1, 12, 11, 4, 17
Small, 32, 12, 15, 24, 5, 1, 24, 6, 3, 15, 4
Small, 1, 21, 25, 12, 17, 2, 24, 4, 24, 3, 19
Small, 89, 15, 22, 10, 6, 14, 7, 11, 16, 24, 12
Small, 7, 19, 8, 15, 16, 16, 22, 19, 15, 23, 25
Small, 16, 2, 24, 16, 14, 24, 25, 13, 17, 11, 20
Small, 54, 10, 9, 25, 16, 18, 9, 23, 14, 6, 2
Small, 29, 2, 18, 19, 5, 8, 1, 1, 25, 21, 1
Small, 60, 25, 15, 13, 21, 8, 21, 20, 10, 20, 24
Small, 94, 2, 19, 21, 4, 13, 21, 6, 23, 20, 9
Small, 51, 22, 17, 12, 6, 1, 25, 9, 17, 21, 15
Small, 58, 12, 25, 11, 21, 2, 4, 5, 16, 10, 24
Small, 36, 14, 16, 23, 21, 6, 25, 1, 12, 2, 11
Small, 62, 19, 23, 7, 2, 18, 13, 24, 10, 17, 13
Small, 11, 22, 19, 13, 20, 16, 8, 4, 15, 21, 24
Small, 3, 13, 6, 6, 25, 23, 10, 12, 15, 15, 17
Small, 79, 15, 4, 18, 14, 7, 4, 23, 5, 24, 8
Small, 27, 7, 13, 24, 21, 20, 4, 12, 1, 25, 3
Small, 78, 23, 4, 21, 17, 16, 3, 7, 21, 25, 9
Small, 55, 18, 4, 2, 22, 21, 12, 4, 9, 25, 2
Small, 20, 9, 16, 23, 17, 7, 18, 7, 21, 1, 9
Small, 75, 10, 3, 3, 8, 6, 21, 21, 3, 1, 24
Small, 64, 21, 15, 17, 3, 11, 9, 16, 23, 10, 20
Small, 4, 22, 13, 6, 12, 22, 11, 5, 21, 22, 16
Small, 100, 9, 8, 17, 19, 2, 20, 20, 14, 3, 17
Small, 42, 8, 15, 19, 4, 6, 3, 22, 10, 23, 14
Small, 47, 3, 25, 25, 14, 2, 2, 2, 12, 3, 7
