Small, 47, 21, 24, 5, 2, 19, 18, 8, 20, 14
Small, 32, 10, 13, 20, 18, 22, 11, 10, 7, 24
Small, 89, 11, 9, 10, 20, 19, 17, 8, 7, 6
Small, 32, 16, 23, 7, 21, 19, 22, 5, 23, 23
Small, 46, 18, 25, 15, 20, 13, 8, 4, 4, 21
Small, 39, 1, 7, 2, 25, 13, 10, 5, 16, 19
Small, 80, 7, 10, 11, 17, 17, 10, 10, 19, 17
Small, 12, 12, 18, 2, 2, 19, 25, 15, 19, 20
Small, 94, 4, 4, 16, 1, 18, 24, 9, 16, 12
Small, 61, 24, 4, 17, 5, 5, 19, 17, 20, 12
Small, 24, 5, 7, 14, 14, 11, 11, 7, 9, 15
Small, 80, 19, 16, 12, 11, 17, 15, 24, 21, 12
Small, 59, 7, 8, 5, 10, 23, 19, 1, 9, 5
Small, 75, 3, 12, 3, 2, 7, 24, 15, 4, 8
Small, 58, 17, 19, 1, 14, 21, 3, 25, 9, 20
Small, 32, 22, 3, 22, 23, 14, 18, 9, 18, 6
Small, 10, 5, 12, 22, 13, 6, 22, 19, 18, 9
Small, 33, 10, 1, 9, 14, 12, 14, 11, 3, 2
Small, 39, 4, 20, 9, 5, 6, 1, 1, 1, 4
Small, 20, 4, 15, 23, 3, 11, 2, 8, 20, 2
Small, 77, 20, 4, 21, 20, 15, 18, 18, 4, 23
Small, 43, 15, 7, 21, 4, 24, 20, 15, 3, 11
Small, 85, 1, 23, 1, 21, 18, 16, 21, 20, 3
Small, 97, 19, 10, 18, 8, 6, 24, 10, 19, 11
Small, 25, 20, 19, 14, 10, 10, 5, 1, 17, 25
Small, 71, 9, 6, 18, 3, 1, 2, 4, 2, 3
Small, 79, 17, 8, 7, 11, 22, 4, 9, 6, 8
Small, 31, 4, 25, 11, 8, 12, 15, 3, 2, 17
Small, 88, 3, 5, 24, 19, 14, 19, 1, 1, 25
Small, 38, 11, 3, 18, 20, 8, 23, 24, 5, 4
Small, 35, 5, 2, 16, 2, 9, 4, 6, 17, 3
Small, 21, 17, 13, 4, 12, 2, 2, 11, 4, 16
Small, 24, 15, 17, 21, 3, 9, 13, 20, 15, 23
Small, 34, 13, 11, 20, 22, 3, 7, 12, 11, 14
Small, 44, 4, 9, 6, 21, 8, 21, 5, 18, 13
Small, 7, 17, 24, 4, 18, 5, 1, 5, 12, 18
Small, 13, 10, 16, 24, 16, 2, 23, 20, 21, 23
Small, 37, 4, 25, 14, 15, 14, 22, 15, 5, 3
Small, 17, 14, 18, 9, 22, 1, 14, 13, 16, 22
Small, 58, 15, 3, 12, 18, 17, 14, 1, 22, 1
Small, 94, 21, 8, 14, 6, 17, 10, 17, 9, 19
Small, 54, 2, 19, 18, 16, 8, 6, 25, 23, 16
Small, 12, 4, 14, 21, 4, 3, 21, 16, 2, 11
Small, 73, 10, 6, 15, 21, 7, 15, 20, 4, 14
Small, 52, 17, 16, 9, 20, 17, 14, 4, 8, 9
