Small, 2, 16, 23, 2, 23, 22
Small, 50, 4, 6, 9, 6, 23
Small, 89, 24, 17, 20, 3, 8
Small, 83, 1, 8, 7, 20, 15
Small, 6, 3, 6, 3, 20, 20
Small, 86, 17, 9, 18, 24, 19
Small, 29, 20, 19, 22, 24, 8
Small, 18, 10, 13, 13, 18, 24
Small, 80, 3, 22, 8, 6, 10
Small, 35, 10, 2, 14, 3, 19
Small, 62, 17, 17, 5, 7, 15
Small, 66, 19, 14, 13, 3, 23
Small, 57, 22, 16, 22, 4, 16
Small, 36, 10, 13, 20, 18, 13
Small, 73, 15, 18, 4, 4, 16
Small, 23, 19, 5, 15, 12, 19
Small, 38, 18, 12, 6, 24, 12
Small, 90, 24, 17, 3, 11, 17
Small, 78, 13, 1, 5, 16, 8
Small, 82, 18, 14, 9, 17, 14
Small, 24, 2, 14, 24, 6, 11
Small, 73, 3, 19, 22, 6, 12
Small, 52, 12, 20, 14, 1, 19
Small, 95, 4, 7, 6, 5, 9
Small, 35, 25, 18, 15, 11, 14
Small, 76, 15, 14, 11, 8, 16
Small, 11, 17, 7, 23, 7, 14
Small, 41, 6, 22, 3, 12, 14
Small, 37, 19, 25, 24, 18, 9
Small, 37, 23, 21, 15, 20, 17
Small, 79, 3, 1, 18, 18, 2
Small, 30, 21, 11, 19, 25, 3
Small, 25, 24, 10, 17, 25, 12
Small, 76, 1, 25, 2, 16, 22
Small, 75, 13, 4, 11, 6, 23
Small, 50, 22, 15, 25, 5, 5
Small, 32, 19, 2, 6, 20, 10
Small, 94, 21, 20, 10, 12, 25
Small, 33, 20, 12, 7, 18, 5
Small, 36, 12, 9, 17, 22, 4
Small, 98, 22, 10, 22, 21, 3
Small, 50, 25, 24, 10, 3, 6
Small, 11, 25, 6, 13, 8, 24
Small, 35, 20, 4, 2, 18, 2
Small, 91, 8, 11, 24, 14, 17
Small, 4, 17, 12, 19, 5, 1
Small, 23, 11, 10, 8, 13, 10
Small, 39, 9, 18, 3, 5, 9
Small, 0, 17, 9, 12, 18, 5
Small, 84, 17, 6, 7, 25, 2
Small, 69, 23, 22, 16, 4, 18
Small, 60, 19, 21, 15, 24, 18
Small, 11, 14, 19, 23, 5, 2
Small, 7, 4, 22, 21, 9, 15
Small, 93, 16, 4, 22, 23, 2
Small, 84, 23, 8, 20, 1, 9
Small, 50, 5, 16, 14, 20, 20
Small, 52, 13, 13, 9, 25, 20
Small, 67, 18, 25, 5, 9, 5
Small, 75, 6, 19, 9, 9, 18
Small, 80, 22, 10, 17, 22, 8
Small, 29, 23, 19, 24, 14, 12
Small, 67, 5, 12, 5, 6, 4
Small, 43, 2, 24, 13, 5, 7
Small, 88, 13, 12, 6, 3, 14
Small, 84, 10, 17, 23, 2, 4
Small, 21, 1, 10, 11, 15, 13
Small, 27, 20, 10, 3, 13, 10
Small, 84, 9, 1, 8, 21, 15
Small, 89, 18, 24, 4, 18, 15
Small, 82, 21, 13, 25, 2, 5
Small, 81, 21, 15, 18, 17, 22
Small, 69, 6, 25, 14, 9, 6
Small, 44, 13, 5, 10, 22, 4
Small, 3, 18, 12, 24, 17, 1
Small, 12, 11, 21, 4, 15, 8
Small, 9, 17, 14, 5, 6, 19
Small, 94, 24, 6, 25, 3, 12
Small, 84, 8, 24, 20, 3, 16
Small, 6, 19, 16, 12, 22, 5
Small, 47, 6, 14, 23, 3, 25
Small, 19, 4, 18, 6, 20, 13
Small, 60, 9, 19, 4, 17, 13
Small, 17, 5, 21, 5, 25, 1
Small, 6, 10, 21, 9, 3, 25
Small, 41, 5, 11, 15, 10, 7
Small, 77, 15, 18, 21, 3, 8
Small, 92, 15, 11, 2, 20, 15
Small, 48, 24, 5, 5, 16, 22
Small, 62, 13, 8, 10, 10, 23
Small, 72, 11, 13, 3, 18, 25
Small, 57, 5, 23, 5, 10, 8
Small, 83, 12, 19, 12, 19, 11
Small, 68, 10, 9, 24, 20, 21
Small, 95, 25, 16, 11, 14, 21
Small, 15, 4, 4, 25, 21, 8
Small, 61, 12, 11, 12, 20, 23
Small, 11, 15, 25, 8, 1, 21
Small, 47, 15, 18, 1, 23, 22
Small, 26, 18, 8, 21, 15, 10
Medium, 779, 13, 19, 8, 21, 24
Medium, 276, 11, 21, 6, 10, 17
Medium, 741, 7, 3, 11, 16, 25
Medium, 726, 24, 14, 4, 18, 1
Medium, 514, 17, 1, 6, 25, 9
Medium, 182, 10, 5, 22, 10, 17
Medium, 491, 13, 15, 5, 7, 4
Medium, 210, 13, 23, 6, 7, 24
Medium, 609, 13, 23, 2, 17, 16
Medium, 142, 20, 13, 1, 7, 19
Medium, 741, 24, 21, 13, 1, 19
Medium, 590, 24, 15, 2, 11, 9
Medium, 545, 9, 12, 11, 2, 23
Medium, 881, 20, 20, 9, 11, 7
Medium, 653, 6, 11, 14, 3, 24
Medium, 367, 15, 9, 17, 3, 17
Medium, 673, 12, 19, 15, 4, 20
Medium, 114, 23, 1, 15, 14, 15
Medium, 531, 9, 4, 11, 20, 25
Medium, 547, 5, 20, 3, 19, 18
Medium, 418, 25, 2, 6, 2, 20
Medium, 574, 22, 12, 21, 13, 8
Medium, 536, 7, 7, 1, 23, 21
Medium, 107, 19, 6, 16, 5, 1
Medium, 650, 4, 2, 8, 16, 14
Medium, 805, 25, 6, 16, 5, 1
Medium, 807, 4, 14, 3, 12, 10
Medium, 983, 12, 10, 22, 6, 10
Medium, 128, 17, 19, 13, 24, 16
Medium, 884, 4, 6, 14, 4, 16
Medium, 856, 7, 2, 22, 8, 14
Medium, 502, 10, 3, 20, 21, 22
Medium, 891, 13, 20, 21, 24, 13
Medium, 575, 10, 9, 11, 7, 4
Medium, 415, 5, 17, 3, 3, 8
Medium, 916, 1, 23, 17, 25, 11
Medium, 294, 24, 8, 16, 16, 11
Medium, 381, 14, 11, 6, 22, 17
Medium, 918, 23, 23, 8, 21, 2
Medium, 722, 15, 10, 11, 3, 10
Medium, 780, 25, 1, 7, 18, 8
Medium, 180, 9, 7, 9, 22, 2
Medium, 856, 8, 2, 12, 18, 14
Medium, 205, 9, 6, 19, 18, 3
Medium, 284, 3, 22, 18, 15, 8
Medium, 656, 20, 8, 4, 11, 17
Medium, 748, 20, 21, 12, 10, 17
Medium, 347, 16, 15, 17, 25, 24
Medium, 860, 21, 4, 16, 7, 17
Medium, 488, 22, 13, 20, 25, 10
Medium, 775, 8, 20, 4, 14, 8
Medium, 213, 13, 18, 6, 3, 9
Medium, 155, 18, 20, 5, 14, 11
Medium, 283, 9, 6, 6, 21, 20
Medium, 965, 21, 23, 3, 5, 22
Medium, 767, 25, 2, 3, 3, 11
Medium, 600, 16, 12, 10, 24, 4
Medium, 860, 14, 22, 21, 9, 17
Medium, 337, 25, 18, 22, 9, 18
Medium, 965, 2, 19, 4, 25, 23
Medium, 296, 24, 12, 18, 25, 15
Medium, 199, 10, 6, 10, 23, 5
Medium, 570, 16, 19, 20, 11, 1
Medium, 329, 10, 18, 18, 19, 20
Medium, 197, 6, 20, 10, 13, 2
Medium, 353, 2, 6, 12, 25, 7
Medium, 601, 7, 13, 21, 6, 4
Medium, 712, 8, 18, 13, 23, 17
Medium, 233, 4, 4, 16, 4, 23
Medium, 228, 21, 3, 8, 24, 7
Medium, 859, 9, 13, 16, 15, 5
Medium, 971, 19, 9, 17, 21, 4
Medium, 835, 18, 4, 4, 9, 23
Medium, 604, 20, 7, 7, 20, 1
Medium, 411, 5, 24, 14, 16, 15
Medium, 193, 14, 1, 14, 20, 8
Medium, 703, 8, 20, 21, 14, 24
