Small, 68, 13, 12, 17, 9, 6, 8
Small, 75, 22, 23, 21, 6, 16, 12
Small, 47, 5, 6, 9, 14, 3, 25
Small, 73, 22, 7, 25, 16, 24, 11
Small, 3, 23, 8, 7, 12, 1, 5
Small, 34, 5, 11, 8, 1, 9, 2
Small, 80, 17, 3, 16, 21, 10, 9
Small, 77, 7, 22, 11, 6, 13, 6
Small, 12, 6, 6, 21, 16, 23, 22
Small, 66, 17, 15, 1, 10, 4, 21
Small, 83, 8, 18, 11, 13, 1, 25
Small, 78, 4, 25, 14, 14, 21, 20
Small, 33, 15, 16, 18, 15, 5, 15
Small, 2, 13, 18, 14, 8, 11, 23
Small, 33, 7, 9, 7, 24, 16, 15
Small, 57, 18, 17, 15, 17, 16, 14
Small, 95, 24, 20, 19, 5, 7, 16
Small, 34, 14, 2, 24, 15, 13, 9
Small, 83, 20, 11, 17, 18, 7, 14
Small, 36, 3, 14, 10, 9, 12, 11
Small, 40, 7, 17, 20, 18, 23, 15
Small, 26, 25, 4, 10, 13, 21, 21
Small, 65, 16, 18, 15, 3, 20, 12
Small, 47, 9, 6, 8, 23, 3, 21
Small, 89, 17, 14, 17, 8, 16, 20
Small, 74, 14, 3, 7, 15, 7, 6
Small, 15, 9, 14, 25, 17, 23, 2
Small, 25, 4, 16, 24, 14, 1, 17
Small, 90, 1, 15, 23, 10, 6, 7
Small, 73, 17, 5, 21, 13, 6, 6
Small, 89, 22, 22, 19, 16, 3, 7
Small, 78, 4, 8, 22, 25, 3, 17
Small, 43, 24, 17, 13, 20, 14, 7
Small, 78, 10, 13, 10, 3, 23, 9
Small, 68, 25, 9, 24, 16, 9, 16
Small, 72, 20, 19, 2, 17, 5, 7
Small, 18, 25, 24, 10, 10, 10, 19
Small, 74, 9, 6, 6, 6, 8, 1
Small, 27, 8, 2, 11, 3, 9, 24
Small, 68, 24, 9, 6, 1, 24, 21
Small, 22, 10, 18, 17, 1, 16, 8
Small, 64, 11, 6, 3, 8, 18, 19
Small, 57, 13, 17, 3, 1, 24, 4
Small, 24, 7, 6, 9, 14, 13, 12
Small, 27, 1, 11, 22, 9, 4, 9
Small, 59, 5, 1, 20, 15, 16, 17
Small, 13, 15, 6, 25, 15, 9, 18
Small, 94, 9, 12, 3, 7, 11, 6
Small, 79, 12, 8, 25, 7, 9, 7
Small, 96, 16, 8, 17, 8, 12, 16
Small, 79, 17, 13, 18, 18, 23, 10
Small, 6, 5, 2, 25, 21, 14, 12
Small, 59, 1, 22, 6, 11, 17, 16
Small, 25, 6, 2, 21, 22, 22, 5
