Small, 34, 9, 9, 7
Small, 13, 4, 6, 19
Small, 59, 12, 23, 22
Small, 22, 3, 15, 17
Small, 34, 24, 9, 23
Small, 67, 22, 24, 10
Small, 67, 9, 21, 12
Small, 29, 18, 19, 7
Small, 81, 12, 12, 3
Small, 59, 1, 21, 23
Small, 30, 15, 23, 6
Small, 96, 18, 2, 20
Small, 49, 22, 24, 25
Small, 18, 16, 18, 9
Small, 55, 8, 10, 19
Small, 8, 22, 22, 10
Small, 58, 25, 5, 23
Small, 10, 15, 10, 20
Small, 14, 23, 9, 16
Small, 44, 2, 21, 6
Small, 85, 18, 25, 1
Small, 43, 13, 23, 25
Small, 0, 6, 10, 14
Small, 32, 20, 3, 12
Small, 86, 12, 2, 22
Small, 80, 15, 21, 25
Small, 10, 18, 13, 17
Small, 77, 20, 5, 12
Small, 16, 2, 8, 21
Small, 30, 8, 7, 25
Small, 85, 3, 4, 11
Small, 30, 14, 19, 6
Small, 75, 5, 2, 1
Small, 63, 19, 3, 18
Small, 56, 23, 17, 18
Small, 13, 3, 23, 9
Small, 7, 8, 25, 9
Small, 80, 8, 14, 25
Small, 48, 9, 24, 16
Small, 31, 18, 12, 16
Small, 31, 17, 12, 23
Small, 35, 20, 6, 25
Small, 80, 11, 20, 16
Small, 8, 5, 20, 7
Small, 95, 23, 25, 14
Small, 44, 18, 3, 25
Small, 8, 9, 2, 23
Small, 5, 5, 20, 16
Small, 76, 2, 1, 19
Small, 1, 15, 3, 3
Small, 24, 20, 1, 11
Small, 49, 13, 23, 21
Small, 58, 9, 2, 21
Small, 56, 5, 17, 19
Small, 80, 16, 12, 15
Small, 40, 23, 19, 12
Small, 64, 24, 12, 18
Small, 74, 22, 1, 6
Small, 41, 23, 11, 5
Small, 30, 13, 15, 23
Small, 89, 1, 15, 2
Small, 55, 11, 18, 1
Small, 4, 11, 3, 9
Small, 70, 25, 24, 4
Small, 24, 17, 25, 14
Small, 50, 11, 22, 22
Small, 54, 17, 4, 9
Small, 21, 24, 12, 23
Small, 87, 13, 11, 21
Small, 50, 3, 16, 17
Small, 56, 21, 20, 21
Small, 48, 15, 9, 22
Small, 46, 13, 19, 6
Small, 89, 7, 22, 13
Small, 64, 11, 12, 14
Small, 20, 3, 22, 13
Small, 19, 4, 13, 19
Small, 71, 3, 11, 9
Small, 45, 9, 18, 13
Small, 31, 14, 15, 15
Small, 87, 3, 21, 7
Small, 43, 18, 25, 3
Small, 34, 12, 11, 24
Small, 9, 4, 18, 7
Small, 13, 8, 22, 16
Small, 61, 17, 25, 9
Small, 81, 8, 17, 24
Small, 13, 11, 19, 17
Small, 49, 2, 11, 14
Small, 88, 24, 8, 8
Small, 45, 23, 9, 17
Small, 21, 6, 24, 25
Small, 59, 18, 13, 4
Small, 97, 9, 21, 1
Small, 36, 18, 17, 12
