Small, 5, 11, 12, 15, 12, 15, 7, 14, 16
Small, 48, 10, 22, 18, 4, 23, 17, 23, 14
Small, 20, 9, 2, 13, 23, 24, 14, 2, 25
Small, 97, 22, 24, 7, 23, 15, 7, 19, 6
Small, 89, 22, 6, 17, 14, 15, 9, 14, 7
Small, 62, 9, 24, 17, 6, 9, 21, 6, 10
Small, 76, 18, 9, 14, 10, 16, 20, 15, 24
Small, 47, 8, 14, 10, 12, 17, 13, 4, 13
Small, 70, 24, 23, 17, 22, 12, 9, 12, 18
Small, 58, 13, 25, 12, 18, 16, 8, 22, 1
Small, 91, 13, 11, 8, 7, 1, 23, 6, 22
Small, 84, 9, 10, 12, 25, 13, 13, 7, 5
Small, 15, 20, 19, 5, 7, 12, 19, 19, 24
Small, 68, 17, 2, 5, 2, 10, 14, 15, 15
Small, 63, 1, 15, 6, 4, 9, 18, 10, 24
Small, 6, 15, 6, 21, 11, 4, 9, 18, 19
Small, 8, 3, 8, 25, 18, 3, 13, 17, 14
Small, 13, 24, 8, 12, 11, 9, 2, 4, 11
Small, 97, 9, 13, 8, 23, 16, 3, 13, 22
Small, 25, 3, 14, 23, 16, 7, 25, 4, 4
Small, 20, 4, 14, 6, 2, 11, 13, 15, 7
Small, 42, 6, 13, 18, 24, 22, 22, 23, 9
Small, 39, 16, 4, 3, 14, 14, 6, 6, 16
Small, 83, 6, 24, 4, 8, 1, 9, 5, 1
Small, 8, 15, 12, 10, 20, 16, 24, 23, 12
Small, 64, 13, 20, 22, 10, 23, 18, 24, 15
Small, 41, 10, 17, 5, 9, 24, 6, 23, 18
Small, 66, 4, 23, 18, 21, 20, 9, 6, 19
Small, 0, 15, 20, 24, 11, 5, 20, 20, 3
Small, 75, 4, 8, 5, 10, 6, 6, 9, 1
Small, 86, 14, 11, 20, 5, 11, 7, 20, 20
Small, 62, 23, 2, 18, 15, 16, 15, 4, 1
Small, 49, 4, 1, 22, 5, 2, 13, 2, 15
Small, 91, 16, 6, 17, 9, 10, 21, 22, 25
Small, 39, 17, 25, 17, 25, 25, 2, 14, 21
Small, 66, 15, 15, 25, 15, 19, 21, 4, 11
Small, 97, 10, 11, 11, 20, 16, 11, 24, 9
Small, 81, 25, 11, 13, 5, 23, 12, 15, 20
Small, 2, 24, 5, 4, 10, 12, 23, 24, 15
Small, 35, 18, 9, 2, 9, 23, 24, 21, 6
Small, 69, 5, 12, 10, 12, 13, 15, 16, 8
Small, 46, 20, 7, 5, 15, 1, 21, 19, 8
Small, 78, 17, 14, 25, 11, 14, 5, 2, 9
Small, 88, 8, 11, 19, 24, 25, 7, 5, 16
Small, 72, 16, 22, 22, 4, 9, 5, 18, 25
Small, 59, 6, 5, 10, 1, 22, 12, 17, 10
Small, 47, 12, 19, 22, 8, 24, 8, 19, 21
Small, 43, 25, 6, 8, 19, 20, 25, 12, 24
Small, 66, 8, 20, 22, 19, 7, 5, 5, 2
Small, 74, 18, 5, 7, 24, 11, 6, 4, 5
Small, 99, 16, 5, 13, 24, 19, 24, 2, 15
Small, 21, 9, 15, 19, 3, 19, 25, 9, 19
Small, 23, 8, 15, 4, 16, 9, 21, 23, 12
Small, 32, 19, 16, 7, 1, 14, 2, 8, 1
Small, 17, 9, 13, 11, 1, 8, 8, 24, 24
Small, 70, 5, 2, 11, 7, 19, 19, 12, 25
Small, 61, 5, 24, 9, 5, 10, 8, 11, 8
Small, 98, 23, 4, 9, 18, 20, 15, 24, 8
Small, 53, 6, 17, 15, 11, 25, 23, 9, 12
Small, 45, 7, 8, 15, 4, 17, 21, 12, 24
Small, 31, 6, 17, 12, 7, 9, 25, 20, 4
Small, 62, 20, 11, 1, 20, 23, 9, 9, 17
Small, 63, 20, 3, 15, 22, 4, 10, 10, 16
Small, 86, 12, 7, 23, 13, 25, 1, 5, 23
Small, 29, 6, 25, 17, 24, 4, 21, 9, 2
Small, 82, 24, 16, 8, 5, 17, 15, 21, 23
Small, 34, 25, 1, 13, 7, 15, 10, 3, 5
Small, 58, 25, 10, 22, 14, 11, 4, 5, 2
Small, 51, 12, 13, 24, 20, 1, 1, 5, 12
Small, 2, 23, 14, 11, 16, 25, 6, 13, 6
Small, 96, 1, 14, 19, 1, 2, 9, 13, 15
Small, 66, 22, 7, 25, 3, 5, 21, 22, 4
Small, 98, 22, 2, 24, 20, 7, 8, 24, 11
Small, 40, 19, 4, 16, 17, 7, 7, 21, 22
Small, 13, 14, 9, 9, 9, 15, 7, 21, 2
Small, 95, 10, 6, 12, 25, 15, 21, 20, 20
Small, 92, 21, 19, 3, 2, 19, 9, 1, 2
Small, 96, 6, 9, 22, 20, 17, 13, 5, 23
Small, 95, 21, 24, 16, 18, 7, 5, 1, 12
Small, 57, 3, 15, 21, 25, 3, 13, 2, 20
Small, 5, 21, 7, 11, 11, 25, 7, 15, 25
Small, 20, 22, 1, 8, 24, 24, 14, 20, 13
Small, 75, 18, 24, 21, 23, 7, 21, 21, 18
Small, 3, 19, 5, 20, 11, 22, 9, 16, 10
Small, 14, 16, 8, 21, 21, 14, 2, 18, 6
Small, 1, 22, 14, 4, 3, 5, 17, 13, 15
Small, 98, 20, 12, 19, 7, 22, 12, 23, 1
Small, 50, 11, 15, 3, 23, 18, 15, 9, 8
Small, 79, 1, 9, 7, 10, 6, 7, 25, 17
Small, 58, 14, 20, 25, 1, 5, 3, 4, 7
Small, 96, 22, 4, 18, 21, 22, 1, 15, 13
Small, 24, 21, 10, 16, 23, 18, 9, 17, 20
Small, 49, 12, 7, 18, 8, 15, 25, 19, 12
Small, 80, 6, 19, 3, 20, 20, 15, 13, 10
Small, 26, 9, 16, 20, 15, 19, 25, 20, 8
Small, 71, 9, 24, 5, 12, 13, 7, 9, 19
Small, 13, 25, 3, 12, 20, 16, 25, 6, 22
Small, 80, 1, 24, 18, 16, 7, 18, 12, 1
Small, 39, 20, 2, 19, 2, 17, 11, 2, 6
Small, 70, 1, 14, 22, 9, 24, 23, 16, 25
Medium, 763, 17, 15, 15, 15, 13, 22, 25, 3
Medium, 143, 21, 24, 4, 23, 14, 17, 13, 11
Medium, 835, 7, 9, 16, 8, 2, 14, 11, 15
Medium, 301, 9, 15, 25, 18, 9, 12, 15, 25
Medium, 288, 5, 24, 23, 5, 13, 24, 15, 23
Medium, 619, 8, 10, 22, 21, 22, 18, 19, 24
Medium, 959, 24, 2, 24, 18, 14, 25, 16, 21
Medium, 620, 7, 13, 10, 25, 19, 19, 7, 2
Medium, 116, 19, 8, 23, 19, 7, 22, 5, 5
