Small, 51, 21, 14, 24, 20, 11, 10, 19, 8, 11, 16, 7, 24, 18, 17, 15
Small, 93, 11, 23, 3, 22, 21, 2, 7, 21, 8, 25, 13, 1, 8, 5, 1
Small, 15, 2, 22, 19, 9, 11, 22, 1, 11, 9, 22, 5, 25, 24, 4, 25
Small, 10, 17, 23, 15, 9, 25, 15, 6, 7, 23, 16, 23, 24, 10, 12, 2
Small, 62, 12, 25, 13, 4, 2, 14, 18, 13, 1, 19, 9, 25, 18, 21, 4
Small, 38, 2, 25, 18, 16, 14, 18, 6, 5, 4, 25, 17, 24, 22, 19, 2
Small, 53, 5, 21, 18, 8, 18, 6, 22, 11, 14, 14, 21, 23, 3, 1, 1
Small, 40, 20, 7, 14, 17, 14, 5, 7, 4, 5, 3, 9, 4, 11, 17, 14
Small, 26, 10, 6, 18, 19, 24, 4, 18, 15, 16, 11, 23, 17, 25, 2, 4
Small, 75, 14, 7, 25, 13, 22, 18, 8, 13, 1, 11, 15, 25, 24, 20, 2
Small, 92, 1, 21, 9, 8, 4, 25, 1, 8, 11, 10, 17, 19, 12, 1, 2
Small, 1, 15, 9, 4, 6, 7, 13, 8, 17, 2, 8, 16, 20, 8, 21, 1
Small, 88, 13, 15, 24, 17, 9, 24, 18, 14, 7, 7, 23, 6, 1, 15, 16
Small, 98, 24, 23, 20, 2, 4, 4, 2, 15, 16, 21, 13, 25, 15, 9, 11
Small, 6, 15, 8, 20, 1, 24, 24, 7, 6, 24, 6, 23, 25, 4, 19, 16
Small, 31, 8, 18, 11, 24, 8, 9, 20, 13, 23, 6, 2, 14, 17, 24, 16
Small, 74, 2, 13, 20, 23, 19, 9, 8, 9, 12, 25, 8, 2, 11, 23, 9
Small, 13, 11, 4, 9, 13, 1, 16, 14, 15, 19, 8, 4, 16, 25, 23, 11
Small, 15, 10, 14, 19, 10, 2, 6, 19, 25, 20, 22, 5, 18, 17, 5, 10
Small, 76, 15, 13, 14, 2, 18, 19, 5, 8, 2, 6, 24, 24, 13, 9, 7
Small, 8, 25, 6, 13, 20, 20, 14, 5, 20, 11, 25, 11, 15, 5, 13, 13
Small, 32, 9, 5, 5, 19, 1, 15, 4, 23, 12, 18, 9, 21, 8, 2, 7
Small, 100, 20, 5, 11, 25, 2, 4, 5, 9, 2, 13, 7, 25, 23, 1, 7
Small, 22, 4, 6, 16, 22, 7, 21, 19, 17, 24, 3, 25, 6, 24, 10, 11
Small, 36, 17, 2, 4, 25, 16, 8, 1, 23, 19, 21, 19, 13, 22, 7, 13
Small, 50, 1, 22, 1, 4, 12, 6, 8, 4, 4, 8, 21, 16, 21, 5, 10
