Small, 77, 23, 5, 17, 12, 21, 8, 22, 10, 1, 22, 1, 23, 22, 14
Small, 62, 1, 5, 20, 18, 16, 10, 6, 22, 16, 12, 17, 15, 15, 3
Small, 10, 2, 6, 5, 4, 5, 4, 2, 23, 1, 1, 7, 13, 25, 24
Small, 16, 10, 11, 14, 10, 1, 15, 13, 13, 13, 7, 12, 18, 6, 8
Small, 96, 18, 3, 25, 25, 15, 1, 16, 20, 12, 1, 2, 23, 2, 15
Small, 26, 21, 12, 2, 3, 24, 19, 9, 3, 13, 24, 17, 20, 16, 8
Small, 52, 7, 21, 2, 5, 10, 23, 1, 10, 5, 25, 9, 4, 24, 22
Small, 79, 24, 12, 3, 16, 2, 17, 23, 19, 23, 19, 3, 15, 17, 25
Small, 58, 16, 25, 13, 1, 25, 14, 2, 16, 4, 11, 7, 14, 3, 15
Small, 79, 2, 24, 1, 3, 10, 5, 12, 17, 21, 3, 9, 25, 15, 5
Small, 1, 2, 17, 7, 10, 20, 12, 9, 21, 7, 25, 24, 22, 22, 2
Small, 2, 14, 13, 18, 16, 15, 2, 4, 18, 24, 7, 3, 5, 11, 19
Small, 49, 22, 5, 12, 17, 23, 9, 23, 25, 22, 4, 19, 15, 1, 19
Small, 18, 1, 16, 3, 2, 19, 10, 11, 12, 4, 4, 3, 21, 18, 15
Small, 39, 17, 9, 22, 24, 9, 13, 9, 18, 21, 8, 1, 15, 4, 15
Small, 95, 22, 1, 23, 14, 25, 3, 10, 2, 16, 10, 23, 15, 25, 24
Small, 71, 15, 7, 18, 15, 5, 22, 13, 15, 2, 23, 12, 12, 12, 10
Small, 51, 14, 12, 4, 7, 1, 17, 15, 10, 2, 15, 20, 15, 19, 13
Small, 9, 6, 25, 23, 7, 1, 12, 12, 23, 13, 4, 16, 15, 16, 10
Small, 1, 6, 22, 2, 22, 1, 4, 7, 2, 3, 22, 17, 10, 22, 18
Small, 39, 21, 3, 20, 20, 8, 14, 13, 16, 9, 9, 23, 24, 19, 11
Small, 40, 10, 21, 12, 12, 12, 17, 12, 24, 24, 19, 7, 12, 4, 2
Small, 56, 11, 19, 18, 18, 13, 12, 17, 11, 12, 11, 11, 16, 14, 2
Small, 10, 25, 22, 12, 18, 25, 3, 3, 13, 4, 17, 1, 21, 18, 24
Small, 9, 2, 7, 14, 5, 18, 19, 1, 20, 10, 11, 20, 7, 2, 17
Small, 60, 11, 20, 21, 16, 16, 17, 15, 11, 12, 12, 12, 23, 19, 21
Small, 76, 16, 2, 23, 4, 22, 16, 4, 20, 2, 15, 25, 13, 13, 9
Small, 36, 22, 11, 10, 13, 24, 15, 20, 14, 11, 19, 25, 22, 10, 21
Small, 17, 12, 8, 20, 19, 10, 16, 11, 21, 3, 17, 17, 1, 7, 14
Small, 78, 4, 24, 8, 12, 3, 12, 4, 25, 24, 7, 21, 21, 9, 19
Small, 41, 25, 6, 6, 11, 22, 17, 12, 8, 14, 23, 17, 5, 22, 25
Small, 61, 21, 15, 4, 8, 17, 24, 18, 2, 7, 20, 13, 7, 8, 17
Small, 54, 14, 24, 17, 10, 16, 16, 10, 9, 22, 7, 24, 15, 9, 9
Small, 63, 6, 19, 18, 14, 8, 23, 15, 16, 22, 23, 8, 5, 7, 1
Small, 52, 22, 12, 12, 7, 8, 20, 5, 23, 23, 24, 23, 9, 15, 3
Small, 21, 24, 24, 3, 14, 20, 24, 7, 11, 14, 16, 1, 17, 17, 22
Small, 6, 3, 7, 7, 17, 21, 6, 1, 3, 22, 22, 20, 1, 12, 4
Small, 100, 8, 14, 14, 25, 3, 8, 10, 4, 13, 20, 8, 4, 7, 7
Small, 15, 2, 5, 22, 19, 22, 15, 13, 16, 8, 15, 20, 22, 5, 4
Small, 8, 14, 7, 8, 12, 7, 14, 22, 12, 8, 14, 10, 18, 4, 22
Small, 45, 14, 4, 24, 14, 14, 6, 3, 23, 8, 6, 8, 13, 6, 2
Small, 73, 8, 8, 22, 14, 3, 7, 21, 6, 10, 17, 23, 13, 13, 23
Small, 22, 10, 9, 14, 10, 10, 2, 16, 8, 21, 3, 21, 20, 15, 11
Small, 79, 20, 13, 6, 22, 1, 21, 23, 3, 17, 10, 1, 16, 16, 23
Small, 22, 18, 9, 22, 9, 16, 13, 8, 23, 19, 15, 16, 1, 2, 1
Small, 54, 12, 7, 18, 6, 16, 8, 13, 18, 2, 11, 9, 25, 22, 3
Small, 10, 11, 19, 19, 8, 1, 9, 24, 1, 18, 17, 12, 6, 6, 24
Small, 21, 8, 2, 14, 17, 22, 19, 24, 14, 9, 23, 1, 1, 14, 23
Small, 8, 23, 9, 17, 3, 7, 14, 13, 9, 6, 11, 12, 21, 17, 14
Small, 54, 18, 1, 2, 5, 24, 20, 18, 6, 5, 7, 23, 5, 2, 3
Small, 3, 23, 25, 15, 17, 15, 12, 7, 2, 20, 7, 7, 19, 17, 22
Small, 27, 16, 24, 15, 24, 6, 19, 3, 8, 23, 8, 21, 1, 3, 24
Small, 90, 3, 12, 3, 23, 18, 22, 21, 24, 7, 3, 3, 11, 7, 3
Small, 70, 24, 14, 4, 9, 19, 8, 9, 12, 1, 19, 2, 3, 10, 19
Small, 69, 17, 20, 5, 25, 21, 9, 5, 13, 19, 14, 12, 10, 6, 19
Small, 48, 23, 19, 14, 17, 11, 16, 7, 13, 6, 16, 6, 3, 11, 10
Small, 95, 21, 10, 8, 3, 9, 7, 10, 22, 7, 23, 4, 11, 11, 11
Small, 56, 3, 24, 18, 7, 11, 22, 17, 24, 3, 10, 22, 22, 12, 15
Small, 73, 6, 14, 10, 8, 23, 20, 25, 5, 19, 15, 25, 12, 13, 15
Small, 51, 14, 25, 4, 17, 17, 23, 9, 22, 1, 7, 8, 17, 7, 15
Small, 92, 14, 7, 23, 4, 19, 21, 1, 4, 3, 8, 3, 13, 8, 19
Small, 32, 17, 14, 22, 16, 19, 8, 25, 13, 10, 2, 16, 5, 25, 6
Small, 87, 9, 11, 25, 21, 25, 4, 19, 24, 5, 16, 12, 17, 15, 5
Small, 34, 15, 15, 9, 12, 22, 17, 18, 20, 23, 2, 24, 6, 5, 25
Small, 96, 13, 7, 20, 21, 3, 5, 7, 5, 22, 17, 5, 9, 1, 24
Small, 56, 15, 5, 15, 23, 24, 21, 22, 3, 20, 19, 23, 13, 6, 24
Small, 36, 25, 8, 11, 14, 8, 11, 13, 15, 3, 8, 13, 10, 7, 5
Small, 24, 17, 15, 16, 22, 19, 19, 24, 14, 16, 13, 24, 12, 9, 6
Small, 98, 8, 8, 15, 10, 4, 1, 21, 19, 11, 11, 7, 9, 20, 16
Small, 88, 24, 23, 6, 13, 16, 16, 11, 24, 24, 21, 12, 11, 25, 21
Small, 79, 25, 4, 1, 17, 4, 1, 6, 14, 14, 5, 11, 20, 15, 8
Small, 68, 23, 2, 16, 10, 16, 19, 22, 13, 8, 13, 5, 17, 25, 8
Small, 99, 9, 21, 4, 6, 24, 19, 8, 23, 18, 4, 19, 10, 24, 5
Small, 18, 8, 8, 20, 18, 4, 6, 1, 21, 19, 5, 3, 23, 21, 20
Small, 37, 3, 1, 6, 3, 10, 24, 2, 23, 2, 1, 8, 19, 6, 19
Small, 28, 14, 23, 7, 5, 12, 15, 11, 10, 1, 16, 1, 9, 15, 11
Small, 36, 10, 11, 16, 10, 11, 1, 6, 8, 17, 13, 8, 3, 9, 20
Small, 77, 15, 14, 24, 23, 2, 17, 14, 18, 16, 17, 25, 1, 16, 13
Small, 95, 7, 22, 4, 11, 14, 4, 4, 8, 5, 2, 3, 9, 15, 13
Small, 21, 9, 5, 17, 6, 18, 5, 14, 25, 4, 23, 12, 13, 20, 2
Small, 49, 7, 17, 9, 9, 24, 1, 7, 10, 9, 18, 10, 20, 8, 3
Small, 70, 4, 18, 6, 1, 6, 13, 15, 19, 25, 18, 10, 5, 15, 13
Small, 12, 9, 22, 25, 5, 14, 4, 18, 12, 19, 25, 24, 18, 2, 12
Small, 67, 24, 17, 18, 14, 15, 6, 14, 9, 22, 4, 1, 10, 1, 8
Small, 85, 20, 3, 21, 25, 6, 15, 23, 20, 23, 16, 16, 11, 24, 5
Small, 89, 13, 7, 6, 12, 17, 5, 14, 24, 8, 10, 25, 24, 5, 14
Small, 72, 6, 21, 2, 25, 4, 8, 6, 22, 1, 5, 2, 1, 14, 8
Small, 63, 19, 14, 11, 9, 25, 19, 24, 4, 25, 17, 21, 24, 5, 9
Small, 21, 12, 5, 15, 16, 8, 9, 24, 23, 9, 11, 13, 21, 18, 25
Small, 11, 24, 17, 3, 13, 11, 10, 15, 8, 7, 25, 1, 15, 19, 9
Small, 40, 23, 3, 11, 14, 11, 10, 4, 22, 8, 6, 7, 10, 16, 24
Small, 82, 3, 23, 8, 12, 20, 11, 9, 5, 24, 2, 6, 7, 7, 25
Small, 22, 23, 16, 4, 8, 5, 2, 7, 1, 11, 1, 14, 12, 13, 1
Small, 43, 3, 3, 16, 12, 12, 12, 7, 11, 15, 3, 3, 7, 24, 2
Small, 88, 12, 17, 2, 12, 12, 4, 8, 17, 6, 19, 4, 22, 21, 8
Small, 42, 17, 1, 3, 14, 6, 9, 22, 16, 25, 13, 12, 1, 4, 24
Small, 29, 17, 13, 17, 3, 10, 3, 12, 14, 22, 20, 16, 3, 4, 15
Small, 32, 7, 14, 8, 2, 11, 4, 1, 6, 17, 13, 11, 6, 16, 3
Small, 78, 13, 17, 9, 20, 6, 24, 18, 7, 11, 17, 4, 6, 15, 24
Small, 89, 25, 2, 18, 25, 8, 12, 22, 8, 14, 22, 10, 8, 11, 21
Medium, 757, 11, 10, 21, 24, 23, 25, 3, 24, 19, 2, 14, 4, 19, 16
Medium, 784, 22, 11, 20, 6, 23, 7, 23, 15, 4, 15, 22, 20, 2, 1
Medium, 266, 14, 2, 3, 3, 14, 20, 2, 2, 16, 17, 13, 1, 5, 5
Medium, 299, 25, 1, 6, 15, 10, 1, 8, 2, 22, 12, 17, 20, 19, 2
Medium, 714, 22, 22, 8, 18, 16, 14, 15, 20, 9, 18, 2, 3, 21, 3
Medium, 758, 17, 1, 13, 5, 6, 1, 25, 4, 2, 22, 4, 7, 15, 16
Medium, 269, 6, 9, 18, 20, 11, 9, 10, 15, 3, 10, 24, 5, 14, 17
Medium, 792, 7, 25, 17, 10, 16, 11, 1, 6, 12, 8, 15, 1, 1, 24
Medium, 682, 22, 25, 21, 10, 9, 18, 23, 2, 19, 6, 25, 2, 24, 22
Medium, 799, 22, 17, 18, 22, 18, 25, 10, 23, 3, 12, 11, 6, 14, 3
Medium, 496, 13, 8, 22, 6, 13, 3, 19, 23, 17, 24, 24, 6, 1, 23
Medium, 706, 18, 18, 8, 18, 14, 4, 13, 13, 13, 24, 4, 12, 6, 22
Medium, 675, 9, 5, 13, 21, 7, 25, 19, 25, 10, 12, 14, 2, 2, 23
Medium, 837, 9, 7, 3, 2, 16, 1, 16, 4, 7, 11, 25, 2, 19, 2
Medium, 507, 7, 9, 8, 22, 12, 9, 3, 22, 2, 14, 22, 14, 4, 18
Medium, 507, 15, 23, 14, 8, 12, 20, 21, 11, 11, 10, 24, 21, 16, 11
Medium, 829, 13, 17, 17, 24, 3, 4, 11, 19, 22, 9, 8, 13, 14, 1
Medium, 274, 17, 4, 20, 23, 1, 5, 4, 21, 5, 24, 17, 20, 17, 22
Medium, 192, 22, 6, 14, 24, 23, 24, 21, 4, 10, 19, 10, 10, 22, 19
Medium, 415, 8, 17, 2, 13, 12, 20, 14, 13, 5, 3, 24, 10, 9, 9
Medium, 188, 2, 21, 11, 18, 23, 16, 9, 18, 23, 22, 15, 13, 1, 20
Medium, 765, 19, 11, 11, 4, 9, 11, 15, 4, 9, 18, 1, 18, 14, 20
Medium, 264, 1, 12, 22, 15, 9, 11, 3, 4, 19, 18, 17, 5, 14, 22
Medium, 352, 8, 13, 14, 14, 8, 11, 23, 25, 19, 2, 25, 7, 20, 23
Medium, 205, 15, 15, 20, 14, 18, 24, 13, 16, 19, 3, 12, 17, 5, 13
