Small, 77, 19, 12, 8, 25
Small, 28, 14, 9, 21, 6
Small, 58, 18, 5, 14, 4
Small, 64, 11, 4, 15, 6
Small, 89, 23, 23, 24, 22
Small, 51, 17, 9, 10, 7
Small, 31, 10, 20, 18, 19
Small, 69, 9, 7, 14, 10
Small, 33, 24, 18, 12, 11
Small, 60, 1, 22, 9, 9
Small, 91, 25, 17, 11, 16
Small, 35, 13, 1, 2, 21
Small, 25, 12, 18, 9, 19
Small, 43, 18, 7, 7, 4
Small, 79, 3, 5, 21, 24
Small, 95, 12, 8, 19, 20
Small, 71, 8, 20, 22, 25
Small, 17, 7, 21, 1, 7
Small, 15, 6, 19, 9, 19
Small, 26, 14, 9, 12, 25
Small, 47, 16, 24, 7, 24
Small, 17, 11, 12, 20, 2
Small, 26, 15, 11, 23, 5
Small, 67, 14, 25, 24, 2
Small, 51, 20, 12, 19, 8
Small, 43, 10, 12, 20, 3
Small, 27, 2, 8, 10, 23
Small, 53, 1, 14, 19, 5
Small, 51, 18, 12, 7, 13
Small, 2, 12, 12, 24, 12
Small, 58, 11, 17, 19, 4
Small, 69, 1, 15, 3, 20
Small, 55, 14, 13, 5, 16
Small, 1, 21, 7, 7, 25
Small, 50, 22, 15, 8, 9
Small, 54, 8, 16, 19, 1
Small, 6, 7, 11, 2, 24
Small, 72, 12, 24, 10, 23
Small, 65, 2, 11, 17, 23
Small, 48, 12, 20, 18, 7
Small, 14, 1, 7, 20, 4
Small, 27, 3, 2, 10, 16
Small, 27, 22, 9, 18, 2
Small, 72, 15, 5, 18, 6
Small, 88, 9, 7, 19, 19
Small, 43, 11, 18, 10, 19
Small, 19, 4, 19, 19, 25
Small, 31, 20, 17, 19, 25
Small, 88, 21, 1, 14, 1
Small, 52, 12, 17, 25, 24
Small, 71, 7, 18, 10, 1
Small, 80, 12, 8, 2, 25
Small, 31, 11, 21, 16, 2
Small, 80, 15, 1, 11, 17
Small, 73, 14, 7, 24, 14
Small, 72, 6, 14, 2, 2
Small, 0, 12, 10, 6, 14
Small, 68, 11, 11, 23, 23
Small, 92, 17, 16, 14, 5
Small, 83, 18, 13, 19, 19
Small, 54, 17, 22, 5, 10
Small, 14, 11, 13, 20, 3
