Small, 13, 4, 10, 3, 17, 16, 13, 25, 13, 20, 19, 9, 6, 19
Small, 37, 25, 14, 25, 17, 17, 10, 5, 14, 20, 17, 24, 22, 5
Small, 73, 2, 6, 16, 12, 8, 4, 4, 24, 16, 5, 2, 3, 11
Small, 23, 1, 15, 3, 19, 15, 21, 22, 23, 10, 14, 18, 22, 6
Small, 71, 20, 5, 9, 24, 10, 4, 8, 8, 11, 7, 20, 12, 7
Small, 24, 19, 4, 5, 19, 14, 6, 25, 1, 21, 9, 7, 12, 17
Small, 38, 8, 14, 5, 5, 5, 14, 4, 17, 11, 1, 22, 14, 2
Small, 30, 10, 2, 14, 15, 3, 11, 17, 14, 7, 7, 8, 21, 25
Small, 85, 18, 1, 5, 17, 12, 21, 16, 8, 8, 12, 20, 15, 22
Small, 27, 10, 7, 23, 22, 7, 5, 4, 25, 5, 16, 5, 16, 4
Small, 36, 25, 3, 21, 17, 17, 21, 25, 7, 8, 1, 6, 14, 4
Small, 83, 20, 12, 1, 4, 1, 16, 12, 11, 21, 6, 16, 11, 3
Small, 17, 17, 3, 23, 17, 11, 5, 21, 22, 3, 21, 19, 4, 2
Small, 58, 7, 20, 7, 14, 3, 22, 20, 8, 12, 20, 8, 21, 14
Small, 94, 23, 14, 8, 4, 2, 24, 17, 17, 12, 13, 1, 17, 24
Small, 44, 5, 19, 4, 4, 3, 24, 22, 5, 18, 19, 11, 1, 16
Small, 98, 9, 11, 9, 16, 4, 14, 6, 6, 10, 14, 8, 14, 16
Small, 61, 14, 13, 8, 20, 2, 14, 3, 5, 10, 6, 20, 20, 18
Small, 82, 4, 23, 23, 15, 16, 7, 7, 3, 10, 7, 13, 8, 12
Small, 34, 25, 22, 24, 23, 3, 25, 5, 10, 13, 15, 4, 25, 9
Small, 21, 24, 15, 2, 7, 22, 20, 10, 10, 13, 22, 25, 16, 7
Small, 32, 12, 1, 14, 5, 7, 11, 16, 6, 17, 15, 25, 4, 20
Small, 47, 20, 24, 5, 17, 11, 13, 13, 6, 10, 20, 17, 8, 15
Small, 65, 7, 17, 8, 12, 5, 17, 8, 11, 8, 18, 11, 6, 25
Small, 41, 11, 3, 23, 13, 4, 20, 11, 23, 7, 13, 15, 23, 5
Small, 47, 25, 5, 21, 7, 13, 12, 14, 7, 1, 22, 7, 1, 20
Small, 87, 24, 7, 22, 5, 16, 11, 7, 21, 1, 15, 8, 15, 9
Small, 66, 22, 5, 14, 11, 22, 21, 10, 9, 25, 21, 8, 24, 4
Small, 49, 22, 13, 18, 18, 20, 19, 18, 20, 4, 21, 10, 16, 7
Small, 30, 2, 19, 4, 8, 15, 23, 9, 6, 21, 25, 20, 19, 17
Small, 61, 11, 9, 3, 24, 8, 6, 9, 25, 6, 3, 3, 9, 14
Small, 59, 16, 7, 5, 14, 3, 15, 16, 11, 17, 25, 23, 2, 19
Small, 16, 22, 9, 18, 5, 23, 4, 8, 20, 8, 4, 20, 19, 24
Small, 49, 1, 21, 15, 11, 20, 23, 9, 18, 1, 12, 11, 13, 21
Small, 77, 24, 10, 20, 15, 9, 15, 6, 1, 20, 19, 22, 14, 1
Small, 36, 18, 11, 8, 22, 12, 9, 6, 7, 16, 16, 15, 17, 11
Small, 0, 9, 25, 9, 8, 25, 17, 23, 15, 22, 9, 14, 10, 6
Small, 11, 13, 11, 12, 7, 10, 24, 24, 23, 19, 3, 7, 18, 3
Small, 44, 7, 8, 5, 4, 21, 25, 20, 21, 16, 24, 12, 8, 19
Small, 33, 25, 15, 10, 3, 4, 21, 4, 2, 20, 2, 13, 8, 2
Small, 5, 19, 23, 11, 15, 7, 24, 19, 22, 25, 7, 8, 8, 21
Small, 49, 23, 4, 5, 11, 6, 9, 22, 18, 24, 14, 3, 20, 24
Small, 68, 12, 15, 5, 17, 23, 11, 9, 10, 14, 11, 16, 4, 10
Small, 10, 6, 9, 9, 14, 17, 8, 17, 9, 9, 17, 20, 5, 25
Small, 50, 20, 1, 11, 17, 10, 14, 16, 5, 6, 14, 1, 4, 16
Small, 54, 14, 19, 9, 23, 14, 8, 1, 14, 21, 22, 7, 25, 24
Small, 82, 12, 19, 4, 7, 16, 4, 14, 8, 14, 10, 16, 10, 17
Small, 95, 20, 12, 17, 20, 11, 4, 8, 25, 17, 2, 16, 3, 20
Small, 65, 23, 1, 13, 20, 13, 16, 20, 13, 22, 20, 11, 3, 10
Small, 21, 15, 20, 3, 17, 21, 25, 12, 11, 12, 3, 18, 3, 5
Small, 16, 13, 12, 4, 25, 10, 5, 7, 9, 24, 14, 7, 23, 7
Small, 46, 9, 21, 18, 9, 21, 8, 15, 19, 16, 6, 16, 19, 8
Small, 99, 7, 5, 24, 4, 18, 8, 14, 23, 18, 13, 10, 6, 18
Small, 60, 14, 25, 16, 4, 11, 5, 18, 5, 24, 18, 17, 15, 19
Small, 24, 23, 3, 11, 13, 5, 21, 20, 24, 6, 8, 8, 21, 22
Small, 53, 22, 24, 13, 5, 9, 25, 5, 19, 16, 22, 1, 14, 14
Small, 13, 25, 13, 15, 13, 16, 15, 25, 20, 3, 14, 6, 7, 25
Small, 28, 19, 10, 12, 24, 3, 18, 25, 12, 11, 9, 24, 10, 15
Small, 19, 16, 11, 9, 13, 21, 3, 19, 11, 13, 9, 21, 10, 9
Small, 81, 17, 4, 6, 13, 7, 12, 9, 15, 24, 6, 6, 16, 8
Small, 98, 8, 16, 10, 1, 4, 11, 22, 17, 10, 21, 9, 5, 23
Small, 9, 19, 9, 20, 9, 19, 24, 3, 6, 13, 12, 1, 2, 16
Small, 30, 20, 7, 12, 23, 18, 12, 3, 24, 3, 21, 20, 22, 14
Small, 54, 20, 13, 7, 14, 4, 14, 9, 9, 8, 19, 23, 4, 15
Small, 8, 9, 18, 17, 21, 7, 14, 7, 17, 10, 19, 7, 22, 9
Small, 44, 6, 3, 21, 25, 18, 22, 19, 14, 21, 15, 12, 21, 24
Small, 23, 5, 7, 16, 20, 20, 25, 20, 6, 18, 23, 15, 22, 1
Small, 8, 8, 21, 19, 16, 2, 18, 2, 22, 19, 24, 1, 16, 8
Small, 28, 5, 1, 8, 17, 2, 1, 19, 2, 11, 5, 9, 4, 14
Small, 38, 4, 1, 23, 8, 17, 5, 12, 9, 22, 18, 17, 1, 9
Small, 80, 14, 21, 20, 4, 14, 11, 4, 3, 23, 2, 20, 3, 9
Small, 88, 20, 25, 1, 19, 16, 1, 20, 19, 15, 5, 14, 20, 23
Small, 4, 1, 7, 8, 23, 17, 16, 20, 16, 1, 4, 22, 25, 21
