Small, 2, 7, 19, 13, 18, 6, 8, 18, 2, 24, 24, 6
Small, 51, 20, 10, 9, 15, 9, 19, 21, 3, 20, 20, 21
Small, 49, 4, 24, 20, 11, 6, 4, 25, 7, 8, 1, 22
Small, 69, 7, 6, 19, 9, 16, 21, 23, 8, 22, 16, 2
Small, 32, 13, 19, 7, 21, 16, 3, 20, 10, 7, 20, 16
Small, 42, 13, 4, 7, 8, 11, 13, 21, 12, 9, 13, 15
Small, 60, 6, 3, 13, 7, 19, 19, 17, 9, 15, 18, 13
Small, 34, 20, 5, 24, 11, 15, 22, 21, 16, 17, 15, 16
Small, 6, 4, 21, 21, 7, 14, 9, 10, 1, 14, 1, 15
Small, 100, 8, 24, 19, 21, 21, 25, 24, 10, 1, 25, 10
Small, 41, 11, 4, 11, 23, 24, 11, 12, 1, 6, 17, 15
Small, 0, 12, 3, 24, 2, 21, 21, 4, 14, 1, 24, 22
Small, 41, 10, 7, 21, 21, 17, 21, 10, 14, 9, 1, 23
Small, 10, 24, 3, 9, 11, 18, 11, 12, 8, 8, 20, 2
Small, 15, 15, 15, 23, 24, 20, 16, 4, 14, 5, 13, 8
Small, 100, 18, 10, 9, 17, 12, 7, 8, 1, 9, 12, 3
Small, 97, 9, 13, 7, 6, 8, 9, 12, 10, 14, 20, 22
Small, 54, 4, 24, 11, 18, 12, 7, 20, 9, 16, 4, 25
Small, 66, 8, 25, 23, 13, 22, 14, 23, 22, 20, 20, 25
Small, 76, 10, 25, 12, 11, 6, 22, 25, 2, 16, 7, 22
Small, 81, 5, 18, 5, 11, 14, 19, 13, 9, 5, 22, 4
Small, 80, 20, 9, 21, 1, 25, 25, 4, 4, 1, 15, 12
Small, 66, 7, 10, 4, 14, 4, 25, 12, 18, 18, 12, 22
Small, 53, 10, 6, 10, 6, 15, 24, 25, 9, 6, 23, 4
Small, 1, 21, 6, 10, 22, 13, 2, 21, 4, 20, 11, 5
Small, 45, 25, 5, 25, 20, 20, 4, 8, 16, 21, 13, 6
Small, 60, 4, 11, 22, 2, 23, 24, 22, 8, 8, 8, 12
Small, 84, 15, 25, 21, 3, 2, 4, 11, 18, 23, 9, 25
Small, 70, 16, 5, 24, 20, 22, 13, 25, 14, 23, 19, 22
Small, 89, 5, 19, 15, 23, 19, 19, 8, 1, 17, 20, 14
Small, 12, 17, 19, 13, 24, 20, 8, 24, 23, 1, 24, 14
Small, 47, 8, 18, 14, 7, 12, 25, 14, 5, 11, 16, 1
Small, 25, 16, 12, 20, 1, 4, 24, 24, 6, 7, 8, 14
Small, 13, 23, 25, 7, 4, 21, 7, 16, 16, 20, 18, 19
Small, 47, 4, 6, 20, 11, 10, 12, 5, 10, 11, 20, 25
Small, 29, 4, 2, 8, 5, 2, 23, 6, 5, 8, 3, 11
Small, 69, 16, 19, 3, 10, 7, 15, 15, 25, 20, 20, 4
Small, 25, 9, 21, 21, 17, 10, 10, 16, 10, 4, 11, 20
Small, 64, 5, 19, 9, 7, 21, 17, 14, 19, 24, 18, 12
Small, 11, 9, 10, 4, 22, 16, 18, 21, 5, 25, 14, 1
Small, 61, 18, 19, 13, 20, 8, 6, 14, 25, 14, 21, 20
Small, 37, 2, 4, 13, 19, 18, 12, 12, 5, 14, 10, 16
Small, 53, 20, 2, 13, 12, 1, 3, 13, 15, 5, 18, 17
Small, 47, 1, 6, 2, 15, 5, 17, 2, 2, 10, 19, 24
Small, 59, 6, 20, 21, 10, 2, 25, 18, 17, 14, 13, 1
Small, 18, 1, 22, 13, 19, 3, 13, 24, 17, 3, 15, 15
Small, 77, 13, 3, 14, 14, 23, 21, 11, 19, 6, 13, 9
Small, 65, 8, 22, 2, 24, 22, 22, 14, 14, 13, 24, 9
Small, 32, 18, 7, 24, 25, 2, 16, 24, 6, 2, 7, 2
Small, 86, 18, 8, 22, 25, 4, 9, 3, 18, 25, 13, 9
Small, 58, 15, 9, 24, 12, 8, 4, 7, 19, 23, 14, 16
Small, 54, 21, 13, 21, 24, 19, 21, 7, 8, 9, 1, 4
Small, 88, 18, 12, 19, 3, 25, 3, 9, 15, 2, 25, 14
Small, 55, 1, 12, 19, 18, 25, 12, 17, 23, 15, 7, 7
Small, 41, 15, 18, 12, 11, 21, 1, 12, 22, 22, 17, 6
Small, 69, 6, 16, 22, 25, 22, 17, 16, 3, 16, 14, 10
Small, 34, 18, 2, 3, 16, 14, 22, 7, 14, 11, 8, 2
Small, 35, 15, 19, 6, 11, 8, 2, 11, 6, 10, 21, 6
Small, 48, 6, 7, 7, 15, 3, 3, 17, 8, 17, 24, 21
Small, 76, 2, 2, 8, 21, 3, 13, 23, 13, 11, 10, 17
Small, 35, 1, 25, 17, 24, 12, 8, 12, 16, 21, 5, 3
Small, 51, 19, 21, 19, 17, 9, 25, 5, 12, 17, 18, 23
