Small, 74, 4, 14
Small, 31, 10, 20
Small, 23, 3, 14
Small, 76, 21, 17
Small, 86, 21, 21
Small, 96, 12, 14
Small, 84, 14, 16
Small, 19, 5, 11
Small, 81, 15, 16
Small, 47, 20, 11
Small, 10, 6, 14
Small, 35, 16, 24
Small, 96, 19, 25
Small, 35, 3, 15
Small, 44, 11, 22
Small, 83, 6, 2
Small, 87, 20, 25
Small, 94, 21, 1
Small, 26, 22, 3
Small, 75, 6, 8
Small, 11, 7, 2
Small, 2, 9, 15
Small, 95, 13, 11
Small, 70, 14, 6
Small, 96, 4, 20
Small, 32, 13, 14
Small, 0, 15, 15
Small, 91, 9, 18
Small, 22, 18, 1
Small, 43, 22, 22
Small, 0, 19, 25
Small, 91, 22, 6
Small, 64, 12, 21
Small, 81, 7, 15
Small, 74, 22, 12
Small, 45, 10, 5
Small, 17, 16, 22
Small, 95, 4, 19
Small, 9, 17, 20
Small, 53, 20, 19
Small, 48, 13, 3
Small, 42, 3, 17
Small, 90, 5, 22
Small, 62, 18, 8
Small, 51, 22, 7
Small, 65, 12, 14
Small, 32, 23, 6
Small, 41, 8, 3
Small, 51, 10, 12
Small, 44, 12, 5
Small, 98, 7, 19
Small, 3, 8, 1
Small, 54, 25, 3
Small, 15, 6, 13
Small, 41, 13, 9
Small, 64, 11, 24
Small, 29, 24, 4
Small, 74, 13, 20
Small, 1, 24, 20
Small, 40, 23, 20
Small, 5, 16, 24
Small, 13, 5, 22
Small, 17, 8, 25
Small, 74, 4, 16
Small, 16, 23, 3
Small, 84, 7, 17
Small, 63, 22, 17
Small, 20, 8, 15
Small, 48, 20, 5
Small, 2, 14, 19
Small, 100, 21, 8
Small, 16, 11, 6
Small, 81, 9, 12
Small, 30, 12, 18
Small, 0, 8, 17
Small, 50, 16, 18
Small, 54, 18, 7
Small, 34, 14, 5
Small, 69, 9, 25
Small, 42, 13, 19
Small, 56, 3, 20
Small, 73, 24, 12
Small, 95, 16, 8
Small, 3, 18, 4
Small, 69, 24, 16
Small, 89, 8, 16
Small, 61, 17, 4
Small, 61, 16, 6
Small, 68, 19, 18
Small, 58, 21, 1
Small, 53, 16, 6
Small, 41, 19, 4
Small, 95, 11, 20
Small, 41, 10, 21
Small, 19, 7, 16
Small, 71, 8, 11
Small, 8, 10, 7
Small, 66, 17, 4
Small, 91, 2, 6
Small, 26, 11, 13
Medium, 438, 14, 9
Medium, 973, 7, 24
Medium, 538, 3, 24
