Small, 71, 24, 7, 17, 22, 19, 15, 17
Small, 6, 4, 18, 16, 3, 20, 18, 9
Small, 61, 23, 16, 2, 14, 14, 9, 12
Small, 4, 23, 9, 9, 19, 12, 6, 11
Small, 17, 10, 2, 23, 13, 5, 25, 22
Small, 80, 20, 25, 4, 18, 22, 13, 17
Small, 65, 24, 15, 25, 14, 6, 8, 2
Small, 29, 23, 13, 4, 3, 21, 16, 15
Small, 64, 6, 24, 18, 4, 2, 16, 19
Small, 34, 10, 20, 18, 15, 5, 12, 3
Small, 59, 17, 1, 7, 15, 6, 16, 9
Small, 73, 25, 6, 20, 3, 15, 25, 23
Small, 37, 24, 10, 4, 6, 7, 23, 14
Small, 45, 20, 11, 13, 2, 7, 18, 15
Small, 69, 1, 16, 3, 14, 14, 2, 9
Small, 33, 23, 4, 20, 11, 21, 18, 2
Small, 63, 23, 21, 23, 17, 2, 7, 16
Small, 68, 22, 15, 23, 6, 1, 13, 11
Small, 55, 16, 16, 19, 18, 13, 2, 24
Small, 65, 5, 18, 6, 6, 24, 9, 10
Small, 88, 8, 3, 23, 24, 19, 10, 11
Small, 39, 23, 8, 17, 17, 20, 24, 1
Small, 1, 11, 10, 10, 22, 23, 3, 17
Small, 17, 12, 13, 11, 14, 4, 17, 11
Small, 86, 13, 8, 11, 20, 17, 3, 15
Small, 77, 23, 8, 4, 11, 15, 14, 24
Small, 89, 19, 1, 6, 24, 2, 3, 2
Small, 24, 22, 5, 21, 22, 8, 21, 18
Small, 73, 19, 20, 8, 15, 6, 1, 3
Small, 52, 21, 10, 2, 23, 14, 23, 23
Small, 56, 14, 3, 1, 6, 17, 14, 9
Small, 81, 9, 17, 5, 21, 16, 9, 8
Small, 24, 15, 14, 20, 20, 5, 18, 4
Small, 88, 5, 10, 4, 12, 7, 23, 15
Small, 89, 3, 22, 10, 23, 3, 4, 25
Small, 31, 15, 5, 21, 13, 1, 9, 15
Small, 85, 12, 11, 2, 12, 20, 24, 1
Small, 97, 21, 18, 11, 2, 15, 25, 13
Small, 56, 25, 14, 21, 10, 10, 24, 12
Small, 24, 4, 2, 3, 16, 13, 1, 9
Small, 10, 23, 10, 7, 22, 20, 11, 11
Small, 79, 7, 18, 1, 7, 20, 9, 14
Small, 32, 16, 21, 24, 1, 23, 18, 25
Small, 14, 20, 8, 11, 4, 18, 1, 24
Small, 32, 24, 19, 14, 13, 17, 24, 13
Small, 54, 7, 20, 11, 24, 22, 16, 24
Small, 78, 13, 4, 20, 8, 17, 9, 14
Small, 25, 23, 2, 6, 8, 21, 13, 2
Small, 82, 16, 9, 14, 23, 20, 12, 22
Small, 31, 1, 19, 9, 20, 3, 10, 2
Small, 51, 18, 5, 19, 12, 14, 6, 6
Small, 96, 21, 15, 11, 6, 11, 21, 15
Small, 11, 25, 16, 16, 25, 22, 8, 20
Small, 39, 9, 9, 7, 21, 18, 6, 3
Small, 69, 11, 1, 16, 2, 20, 18, 19
Small, 36, 12, 23, 20, 18, 12, 12, 4
Small, 12, 9, 6, 7, 23, 21, 1, 21
Small, 100, 13, 6, 24, 21, 16, 1, 20
Small, 37, 20, 16, 17, 11, 8, 9, 22
Small, 95, 13, 9, 16, 11, 9, 24, 9
Small, 76, 21, 2, 24, 25, 19, 6, 3
Small, 0, 24, 9, 13, 7, 10, 12, 16
Small, 73, 4, 23, 19, 20, 19, 18, 24
Small, 65, 23, 17, 23, 18, 23, 23, 5
Small, 67, 13, 4, 8, 20, 24, 22, 17
Small, 4, 19, 20, 23, 19, 25, 9, 13
Small, 88, 19, 11, 3, 18, 13, 22, 8
Small, 53, 6, 3, 22, 15, 21, 11, 9
Small, 35, 7, 23, 15, 18, 24, 22, 13
Small, 30, 21, 3, 11, 12, 7, 24, 17
Small, 55, 22, 3, 7, 6, 20, 20, 13
Small, 74, 2, 8, 14, 8, 24, 21, 2
Small, 26, 4, 20, 2, 7, 24, 4, 6
Small, 79, 22, 18, 9, 11, 25, 10, 14
Small, 1, 20, 12, 7, 8, 3, 6, 5
Small, 20, 13, 1, 2, 11, 9, 22, 6
Small, 60, 2, 6, 8, 8, 23, 13, 9
Small, 12, 7, 13, 16, 9, 1, 23, 15
Small, 19, 24, 24, 2, 24, 19, 17, 20
Small, 94, 10, 15, 18, 12, 6, 21, 18
Small, 62, 25, 5, 4, 20, 2, 17, 3
Small, 24, 3, 24, 21, 4, 18, 9, 12
Small, 1, 8, 7, 25, 19, 8, 1, 25
Small, 35, 17, 22, 16, 19, 1, 19, 11
Small, 18, 17, 9, 14, 5, 22, 12, 9
Small, 37, 15, 18, 25, 3, 9, 5, 10
Small, 46, 7, 14, 23, 9, 22, 14, 17
Small, 8, 24, 25, 18, 21, 24, 16, 20
Small, 56, 4, 1, 12, 8, 6, 25, 20
Small, 17, 11, 19, 6, 16, 14, 3, 1
Small, 67, 3, 19, 17, 3, 22, 6, 25
Small, 32, 14, 8, 15, 19, 20, 7, 10
Small, 90, 20, 11, 14, 6, 9, 7, 5
Small, 90, 16, 17, 11, 5, 10, 13, 9
Small, 3, 15, 21, 5, 5, 5, 2, 9
Small, 85, 10, 15, 18, 18, 17, 6, 13
Small, 59, 25, 18, 14, 9, 4, 7, 12
Small, 17, 3, 8, 21, 4, 17, 18, 21
Small, 69, 14, 3, 7, 10, 6, 1, 16
Small, 23, 24, 5, 9, 18, 5, 19, 4
Medium, 604, 7, 17, 8, 12, 18, 13, 24
Medium, 208, 25, 9, 22, 13, 16, 2, 24
Medium, 552, 1, 22, 18, 2, 17, 25, 25
Medium, 640, 24, 6, 1, 20, 16, 5, 13
Medium, 623, 23, 2, 17, 8, 6, 9, 23
Medium, 364, 4, 22, 1, 5, 9, 13, 6
Medium, 179, 20, 1, 12, 11, 6, 24, 5
Medium, 194, 15, 18, 25, 25, 7, 6, 18
Medium, 294, 19, 22, 9, 21, 12, 23, 9
Medium, 198, 12, 6, 12, 9, 10, 13, 19
Medium, 838, 9, 2, 6, 1, 3, 16, 12
Medium, 563, 3, 13, 22, 2, 5, 11, 8
Medium, 281, 2, 1, 19, 8, 15, 23, 25
Medium, 957, 5, 17, 9, 14, 5, 18, 25
Medium, 218, 15, 17, 23, 9, 6, 8, 13
Medium, 443, 21, 17, 12, 21, 14, 24, 2
Medium, 286, 3, 8, 13, 8, 14, 23, 17
Medium, 177, 22, 7, 16, 22, 21, 18, 23
Medium, 369, 18, 13, 4, 22, 18, 1, 16
Medium, 832, 22, 12, 22, 21, 11, 22, 9
Medium, 270, 15, 20, 20, 6, 1, 19, 2
Medium, 979, 19, 6, 10, 22, 18, 17, 17
Medium, 917, 24, 16, 14, 14, 11, 3, 14
Medium, 101, 18, 23, 25, 16, 9, 17, 7
Medium, 875, 6, 19, 3, 11, 13, 9, 23
Medium, 140, 20, 11, 25, 22, 17, 25, 14
Medium, 436, 10, 17, 1, 9, 21, 18, 4
Medium, 903, 7, 16, 23, 6, 3, 9, 19
Medium, 500, 2, 6, 8, 6, 9, 19, 7
Medium, 458, 15, 20, 1, 17, 24, 13, 23
Medium, 610, 11, 9, 25, 17, 12, 7, 15
Medium, 459, 6, 4, 22, 21, 2, 22, 23
Medium, 175, 11, 24, 11, 23, 13, 2, 19
Medium, 312, 12, 8, 6, 8, 8, 7, 16
Medium, 394, 23, 22, 24, 11, 9, 24, 13
Medium, 971, 3, 8, 7, 15, 12, 3, 16
Medium, 807, 17, 21, 11, 19, 14, 1, 13
Medium, 630, 23, 7, 1, 14, 13, 13, 15
Medium, 481, 16, 15, 15, 7, 8, 19, 6
Medium, 503, 1, 14, 6, 23, 23, 1, 20
Medium, 793, 2, 5, 20, 22, 25, 15, 5
Medium, 344, 18, 20, 21, 19, 19, 11, 25
Medium, 491, 12, 19, 18, 3, 19, 5, 19
Medium, 597, 25, 17, 15, 7, 20, 12, 15
Medium, 645, 24, 2, 6, 18, 16, 13, 10
Medium, 322, 20, 3, 20, 21, 22, 13, 13
Medium, 496, 12, 1, 20, 5, 25, 2, 4
Medium, 967, 6, 24, 5, 16, 19, 20, 12
Medium, 843, 7, 22, 19, 5, 12, 6, 5
Medium, 447, 19, 14, 16, 4, 23, 21, 5
Medium, 288, 12, 22, 25, 15, 2, 1, 19
Medium, 969, 21, 18, 18, 12, 18, 8, 4
Medium, 526, 2, 15, 14, 7, 4, 12, 16
Medium, 651, 16, 16, 22, 18, 1, 13, 8
Medium, 206, 17, 10, 21, 14, 25, 16, 5
Medium, 496, 14, 21, 12, 14, 18, 10, 22
Medium, 758, 4, 8, 16, 2, 14, 22, 2
Medium, 229, 20, 23, 6, 3, 9, 7, 5
Medium, 214, 1, 13, 24, 25, 4, 20, 19
Medium, 260, 3, 10, 11, 5, 12, 13, 9
Medium, 631, 22, 5, 18, 9, 6, 15, 13
Medium, 215, 6, 4, 1, 1, 13, 18, 15
Medium, 150, 12, 11, 7, 12, 5, 5, 9
Medium, 534, 16, 18, 21, 11, 8, 20, 22
Medium, 780, 4, 19, 15, 11, 9, 22, 16
Medium, 762, 24, 5, 3, 9, 3, 10, 24
Medium, 389, 20, 16, 12, 1, 1, 1, 10
Medium, 765, 25, 3, 15, 16, 22, 2, 7
Medium, 300, 2, 23, 25, 24, 14, 22, 5
Medium, 711, 18, 8, 11, 16, 11, 17, 6
Medium, 651, 1, 3, 16, 22, 11, 6, 7
Medium, 843, 14, 14, 6, 2, 12, 15, 6
Medium, 421, 11, 25, 23, 12, 4, 18, 2
Medium, 472, 15, 14, 5, 8, 11, 8, 19
Medium, 479, 9, 14, 17, 15, 7, 7, 15
Medium, 885, 12, 15, 22, 18, 13, 18, 15
Medium, 326, 24, 22, 6, 13, 8, 3, 14
Medium, 226, 23, 2, 11, 20, 8, 1, 18
Medium, 298, 6, 20, 20, 11, 22, 6, 12
Medium, 856, 20, 8, 6, 17, 16, 18, 13
Medium, 415, 21, 24, 16, 24, 15, 5, 9
Medium, 220, 24, 1, 24, 14, 11, 3, 18
Medium, 196, 16, 24, 18, 3, 1, 3, 23
Medium, 757, 25, 12, 10, 25, 21, 24, 5
Medium, 934, 19, 24, 11, 2, 25, 1, 2
Medium, 659, 18, 9, 10, 25, 16, 11, 16
Medium, 1000, 7, 7, 19, 16, 22, 8, 20
Medium, 849, 2, 19, 2, 24, 14, 2, 17
Medium, 290, 18, 8, 20, 13, 25, 2, 15
Medium, 396, 16, 23, 7, 9, 12, 14, 19
Medium, 565, 8, 21, 25, 4, 24, 20, 2
Medium, 224, 17, 8, 10, 20, 1, 7, 15
Medium, 184, 10, 21, 3, 4, 24, 18, 15
Medium, 544, 12, 10, 15, 17, 11, 9, 5
Medium, 260, 23, 14, 16, 10, 1, 9, 25
Medium, 868, 4, 6, 23, 25, 15, 14, 14
Medium, 476, 5, 16, 3, 6, 21, 23, 12
Medium, 947, 2, 19, 2, 6, 17, 24, 9
Medium, 659, 22, 23, 23, 4, 25, 16, 24
Medium, 999, 21, 7, 4, 11, 2, 18, 18
Large, 8565, 12, 5, 21, 15, 13, 21, 14
Large, 1604, 6, 21, 12, 12, 23, 1, 6
Large, 8575, 3, 6, 3, 8, 12, 1, 20
Large, 5518, 16, 23, 17, 8, 10, 16, 18
Large, 5453, 3, 25, 15, 22, 16, 4, 8
Large, 2506, 16, 9, 1, 9, 13, 5, 23
Large, 1041, 9, 19, 10, 15, 9, 16, 2
Large, 9530, 21, 6, 18, 24, 6, 4, 8
Large, 7325, 15, 9, 12, 8, 23, 2, 15
Large, 8567, 8, 11, 18, 10, 25, 10, 21
Large, 1889, 18, 19, 15, 5, 14, 1, 17
Large, 8229, 6, 25, 6, 18, 1, 23, 7
Large, 8088, 2, 12, 20, 18, 15, 9, 25
Large, 7073, 18, 3, 8, 8, 11, 6, 3
Large, 6039, 15, 10, 7, 1, 4, 5, 25
Large, 1713, 24, 1, 10, 14, 5, 6, 11
Large, 8818, 23, 4, 3, 5, 13, 14, 9
Large, 6833, 12, 3, 4, 22, 11, 13, 8
Large, 9578, 5, 17, 13, 10, 10, 12, 13
Large, 9595, 18, 1, 3, 3, 22, 7, 19
Large, 7468, 24, 13, 7, 11, 17, 1, 4
Large, 9703, 12, 21, 5, 21, 13, 12, 10
Large, 6028, 17, 6, 5, 12, 1, 17, 6
Large, 6746, 11, 6, 22, 14, 2, 12, 4
Large, 6961, 3, 10, 21, 11, 14, 11, 13
Large, 9685, 24, 10, 12, 2, 14, 9, 5
Large, 8840, 2, 9, 10, 8, 18, 5, 3
Large, 6400, 20, 3, 15, 25, 5, 12, 11
Large, 9857, 9, 16, 14, 13, 1, 14, 19
Large, 7015, 15, 17, 23, 11, 21, 22, 4
Large, 4573, 24, 22, 25, 7, 2, 12, 17
Large, 1978, 7, 18, 18, 5, 6, 12, 19
Large, 2304, 12, 24, 18, 12, 6, 9, 5
Large, 1100, 8, 11, 18, 9, 7, 19, 11
Large, 1198, 19, 4, 17, 16, 7, 1, 10
Large, 6772, 10, 14, 17, 6, 19, 16, 18
Large, 2090, 2, 1, 7, 9, 21, 20, 9
Large, 8100, 2, 24, 9, 13, 23, 6, 25
Large, 6699, 14, 18, 10, 4, 6, 3, 24
Large, 8758, 21, 19, 18, 6, 8, 1, 9
Large, 9631, 23, 20, 8, 23, 12, 19, 24
Large, 9009, 25, 21, 16, 12, 4, 19, 25
Large, 1768, 23, 20, 14, 12, 20, 22, 4
Large, 1509, 24, 17, 19, 20, 3, 3, 4
Large, 7669, 13, 14, 15, 2, 7, 14, 6
Large, 3444, 22, 12, 20, 20, 20, 18, 13
Large, 1605, 15, 20, 25, 6, 23, 24, 12
Large, 7860, 18, 14, 4, 10, 17, 25, 4
Large, 1917, 6, 22, 19, 8, 25, 6, 4
Large, 3614, 8, 18, 24, 18, 4, 12, 8
Large, 1460, 12, 13, 5, 24, 7, 4, 23
Large, 9664, 13, 17, 21, 17, 1, 1, 25
Large, 6145, 24, 23, 17, 5, 25, 14, 3
Large, 4559, 14, 19, 11, 10, 7, 13, 9
Large, 1000, 6, 1, 16, 17, 17, 12, 5
Large, 7051, 12, 10, 2, 7, 3, 18, 2
Large, 5856, 2, 17, 7, 1, 9, 11, 5
Large, 3121, 13, 4, 2, 22, 24, 7, 23
Large, 7122, 1, 21, 19, 3, 3, 21, 22
Large, 9016, 17, 24, 9, 18, 20, 4, 22
Large, 6104, 19, 7, 17, 22, 9, 9, 19
Large, 9714, 13, 20, 25, 15, 12, 15, 22
Large, 4438, 4, 12, 7, 4, 8, 14, 3
Large, 2908, 18, 3, 18, 3, 19, 1, 10
Large, 2759, 11, 5, 23, 21, 12, 13, 14
Large, 8782, 2, 20, 12, 21, 21, 21, 5
Large, 1763, 10, 17, 6, 3, 12, 23, 18
Large, 8171, 24, 21, 25, 5, 16, 1, 25
Large, 5952, 5, 5, 23, 6, 21, 8, 3
Large, 6392, 24, 17, 9, 13, 2, 5, 11
Large, 2213, 17, 20, 5, 2, 2, 19, 12
Large, 8492, 25, 2, 9, 23, 19, 16, 17
Large, 3697, 22, 25, 6, 9, 19, 24, 2
Large, 9122, 12, 19, 9, 20, 17, 5, 4
Large, 2984, 15, 3, 20, 5, 7, 22, 6
Large, 2685, 22, 13, 4, 25, 21, 9, 10
Large, 8202, 19, 24, 24, 2, 24, 19, 3
Large, 2296, 22, 12, 9, 8, 6, 12, 23
Large, 2464, 24, 1, 21, 23, 12, 11, 18
Large, 2329, 6, 16, 23, 20, 18, 21, 3
Large, 1172, 15, 4, 1, 9, 6, 24, 19
Large, 8652, 18, 14, 14, 7, 7, 8, 17
Large, 9925, 4, 10, 17, 22, 5, 9, 15
Large, 4430, 3, 25, 21, 25, 20, 17, 24
Large, 6337, 18, 16, 13, 5, 1, 10, 20
Large, 9526, 25, 21, 24, 10, 3, 5, 3
Large, 9126, 24, 7, 18, 8, 12, 8, 13
Large, 3710, 18, 17, 18, 14, 22, 4, 13
